"GIUDIZIO","GENERE","NAZIONE","ANNO","DURATA","VISIBILITÀ"
2,"COM","USA",90,91,"ADU"
2,"POL","USA",49,97,"GEN"
1,"COM","USA",79,100,"GEN"
2,"POL","USA",90,100,"GEN"
2,"COM","USA",85,100,"GEN"
2,"POL","USA",84,115,"ADU"
2,"COM","USA",92,86,"ADU"
3,"AVV","USA",92,110,"GEN"
3,"COM","USA",55,123,"GEN"
3,"POL","USA",89,115,"ADU"
3,"COM","USA",57,118,"GEN"
2,"POL","USA",88,91,"GEN"
2,"COM","USA",63,93,"TUT"
4,"POL","USA",91,110,"GEN"
2,"COM","USA",76,113,"GEN"
2,"POL","USA",42,66,"GEN"
2,"COM","USA",88,101,"TUT"
1,"AVV","USA",91,80,"ADU"
2,"COM","USA",79,122,"ADU"
3,"POL","USA",89,125,"ADU"
2,"COM","USA",91,117,"GEN"
1,"POL","USA",95,85,"ADU"
2,"DRA","USA",87,119,"GEN"
2,"POL","USA",82,110,"ADU"
3,"DRA","USA",88,110,"ADU"
2,"POL","USA",40,77,"TUT"
2,"DRA","USA",52,85,"GEN"
3,"POL","USA",77,108,"ADU"
2,"DRA","USA",93,120,"GEN"
2,"POL","USA",87,90,"ADU"
4,"DRA","USA",36,94,"ADU"
2,"POL","USA",89,100,"ADU"
3,"DRA","USA",63,107,"GEN"
2,"POL","USA",91,137,"ADU"
3,"DRA","USA",78,109,"ADU"
2,"POL","USA",46,86,"ADU"
2,"DRA","USA",63,101,"ADU"
3,"POL","USA",71,114,"ADU"
2,"DRA","USA",87,97,"ADU"
2,"POL","USA",71,97,"GEN"
2,"DRA","USA",91,100,"GEN"
2,"POL","USA",91,105,"GEN"
2,"COM","USA",87,107,"TUT"
2,"POL","USA",81,108,"GEN"
3,"COM","USA",67,108,"GEN"
2,"POL","USA",90,132,"ADU"
3,"COM","USA",84,118,"GEN"
2,"AVV","USA",55,112,"GEN"
2,"DRA","USA",84,110,"GEN"
2,"POL","USA",86,87,"ADU"
2,"COM","USA",92,100,"TUT"
